order_id,user_id,order_date,order_type,subscription_id,total_amount,channel
ORD001,USER001,2024-01-01,subscription,SUB001,3500,web
ORD002,USER002,2024-01-01,oneoff,,1200,web
ORD003,USER003,2024-01-02,subscription,SUB002,4200,mobile
ORD004,USER004,2024-01-02,oneoff,,800,web
ORD005,USER001,2024-01-03,subscription,SUB001,3500,web
ORD006,USER005,2024-01-03,oneoff,,1500,phone
ORD007,USER006,2024-01-04,subscription,SUB003,2800,web
ORD008,USER007,2024-01-04,oneoff,,2200,web
ORD009,USER002,2024-01-05,oneoff,,950,mobile
ORD010,USER008,2024-01-05,subscription,SUB004,5200,web
ORD011,USER009,2024-01-06,oneoff,,1800,web
ORD012,USER010,2024-01-06,subscription,SUB005,3200,web
ORD013,USER003,2024-01-07,subscription,SUB002,4200,mobile
ORD014,USER011,2024-01-07,oneoff,,1100,web
ORD015,USER012,2024-01-08,subscription,SUB006,2900,web
ORD016,USER004,2024-01-08,oneoff,,1350,web
ORD017,USER013,2024-01-09,subscription,SUB007,4800,web
ORD018,USER014,2024-01-09,oneoff,,750,mobile
ORD019,USER015,2024-01-10,subscription,SUB008,3600,web
ORD020,USER005,2024-01-10,oneoff,,2100,phone
ORD021,USER001,2024-01-31,subscription,SUB001,3500,web
ORD022,USER016,2024-02-01,oneoff,,890,web
ORD023,USER003,2024-02-02,subscription,SUB002,4200,mobile
ORD024,USER017,2024-02-02,oneoff,,1650,web
ORD025,USER001,2024-03-02,subscription,SUB001,3500,web
ORD026,USER018,2024-03-03,oneoff,,1100,web
ORD027,USER003,2024-03-04,subscription,SUB002,4200,mobile
ORD028,USER019,2024-03-04,oneoff,,2350,web
ORD029,USER020,2024-03-05,subscription,SUB009,2750,web
ORD030,USER021,2024-03-05,oneoff,,1450,mobile
