sku,product_name,category,subcategory,brand,is_set_item,base_price,active
VEG001,有機野菜セット（定期便用）,野菜,有機野菜,Farm Fresh,0,2800,1
VEG002,季節の野菜セット,野菜,季節野菜,Farm Fresh,0,2200,1
VEG003,根菜セット,野菜,根菜,Farm Fresh,0,1800,1
VEG004,葉物野菜セット,野菜,葉物,Farm Fresh,0,1500,1
FRUIT001,季節のフルーツセット,フルーツ,季節フルーツ,Orchard Select,0,3200,1
FRUIT002,柑橘類セット,フルーツ,柑橘,Orchard Select,0,2500,1
FRUIT003,ベリー類セット,フルーツ,ベリー,Berry Best,0,2800,1
MEAT001,国産肉セット,肉類,国産肉,Premium Meat,0,4500,1
MEAT002,鶏肉セット,肉類,鶏肉,Premium Meat,0,2800,1
MEAT003,豚肉セット,肉類,豚肉,Premium Meat,0,3200,1
FISH001,鮮魚セット,魚介,鮮魚,Ocean Fresh,0,3800,1
FISH002,干物セット,魚介,干物,Ocean Fresh,0,2400,1
DAIRY001,乳製品セット,乳製品,チーズ,Dairy Farm,0,2200,1
DAIRY002,ヨーグルトセット,乳製品,ヨーグルト,Dairy Farm,0,1800,1
GRAIN001,玄米セット,穀物,米,Rice Master,0,2000,1
GRAIN002,雑穀セット,穀物,雑穀,Rice Master,0,1600,1
SEASONING001,調味料セット,調味料,基本調味料,Flavor Co,0,2500,1
SEASONING002,スパイスセット,調味料,スパイス,Flavor Co,0,3000,1
STARTER001,お試しセット,セット商品,お試し,Farm Fresh,1,1200,1
FAMILY001,ファミリーセット,セット商品,大容量,Farm Fresh,1,4800,1
PREMIUM001,プレミアムセット,セット商品,高級,Premium Select,1,6500,1
SIMPLE001,シンプルセット,セット商品,基本,Farm Fresh,1,2400,1
WEEKLY001,週替わりセット,セット商品,週替わり,Farm Fresh,1,3600,1
MONTHLY001,月替わりセット,セット商品,月替わり,Farm Fresh,1,5200,1
SEASONAL001,季節限定セット,セット商品,季節限定,Seasonal Best,1,4200,1
